Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-1,,₹598,4.3,"10,922","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.    
› See more product details",,,Brand: Wesley
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-2,,"₹1,199",4.0,"54,203",,,,
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-3,,₹669,4.1,"4,547",,,,
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-4,,₹499,3.9,801,,,,
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-5,,₹529,3.9,"15,923",,,,
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-6,,₹699,4.0,"4,022",,,,
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-7,,₹749,3.9,"2,764",,,,
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-8,,₹899,4.3,"5,925",,,,
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-9,,₹599,3.8,"2,034",,,,
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685036501&sprefix=ba%2Caps%2C283&sr=8-10,,₹248,4.0,"19,027",,,,
